"Date","Followers","Difference in followers from previous day"
"February 6","470","127"
"February 7","790","64"
"February 8","917","38"
"February 9","981","8"
"February 10","1019","2"
"February 11","1027","14"
"February 12","1029","6"
"February 13","1043","15"
"February 14","1049","9"
"February 15","1064","10"
"February 16","1073","9"
"February 17","1083","17"
"February 18","1092","16"
"February 19","1109","20"
"February 20","1125","19"
"February 21","1145","21"
"February 22","1164","18"
"February 23","1185","17"
"February 24","1203","15"
"February 25","1220","16"
"February 26","1235","10"
"February 27","1251","10"
"February 28","1261","14"
"March 1","1271","5"
"March 2","1285","11"
"March 3","1290","8"
"March 4","1301","0"
"March 5","1309","0"